system	series	labial	dental	velar	labiovelar	notes
Proto-Italic	Voiceless stops	p	t; -ss- < /tt/	k	kw	
Proto-Italic	Voiced stops	b; -V̄pt-	d; -V̄ss- < /dt/	g; -V̄kt-	-gw-; -V̄kwt-	
Proto-Italic	Fricatives	f-; -ƀ-; -pt-	-đ-; -ss- < /đt/	χ-/h-; -ǥ-; -kt-	-ǥw-; -kwt-	
Proto-Italic	Sibilant		s-; -z-; -rs-			Source note 64: *sr- > *þr- > *fr- was probably complete already by the time of Proto-Italic.
Proto-Celtic	Voiceless stops	f < *p; -xt-	t; -ss- < /tt/	k; -xt-	kw; -xt-	Source note 65: all Celtic stops collapse into *-x- before *-t- and *-s- (Matasović 2009).
Proto-Celtic	Voiced stops	b; ƀ/V_; -xt-	d; đ/V_; -ss-	g; ǥ/V_; -xt-	-gw-; ǥw/V_; -xt-	
Proto-Celtic	Sibilant		s-; (-)þr-			
Proto-Italo-Celtic	Voiceless stops	p	t; -tst-	k	kw	
Proto-Italo-Celtic	Voiced stops	b; -p̉t-	d; -ts̉t-	g; -k̉t-	-gw-; -k̉wt-	
Proto-Italo-Celtic	Fricatives	ƀ; -pt-	đ; -tst-	ǥ; -kt-	ǥw; -kwt-	
Proto-Italo-Celtic	Sibilant		s-; (-)þr-			
